scenario_id,condition,round,event_index,agent_id,reputation_score,suspicion_score,is_expelled
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,1,H0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,1,H1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,1,H2,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,1,H3,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,1,H4,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,1,H5,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,1,H6,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,1,H7,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,1,HA0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,1,HA1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,1,HA2,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,1,M0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,1,S1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,1,S2,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,2,H0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,2,H1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,2,H2,1.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,2,H3,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,2,H4,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,2,H5,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,2,H6,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,2,H7,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,2,HA0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,2,HA1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,2,HA2,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,2,M0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,2,S1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,1,2,S2,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,3,H0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,3,H1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,3,H2,1.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,3,H3,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,3,H4,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,3,H5,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,3,H6,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,3,H7,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,3,HA0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,3,HA1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,3,HA2,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,3,M0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,3,S1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,3,S2,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,4,H0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,4,H1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,4,H2,1.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,4,H3,1.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,4,H4,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,4,H5,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,4,H6,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,4,H7,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,4,HA0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,4,HA1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,4,HA2,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,4,M0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,4,S1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,4,S2,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,5,H0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,5,H1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,5,H2,1.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,5,H3,1.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,5,H4,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,5,H5,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,5,H6,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,5,H7,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,5,HA0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,5,HA1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,5,HA2,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,5,M0,1.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,5,S1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,2,5,S2,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,3,6,H0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,3,6,H1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,3,6,H2,1.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,3,6,H3,1.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,3,6,H4,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,3,6,H5,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,3,6,H6,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,3,6,H7,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,3,6,HA0,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,3,6,HA1,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,3,6,HA2,0.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,3,6,M0,1.0,0,False
R1_fake_microtask_claims_low_seed01,C0_naive_reputation,3,6,S1,0.0,0,False
